<NOISE> 1.0	NSN
lô-sîn 1.0	l er5 s i nn5
lô-sún 1.0	l er5 s u nn2
lô-tak-tak 1.0	l er5 t a k_T4 t a k_T4
lô-thi-thi 1.0	l er5 th i1 th i1
lô-thuân 1.0	l er5 th u a nn5
lô-thuî 1.0	l er5 th u i5
lô-tong 1.0	l er5 t er ng1
lô-tshia 1.0	l er5 tsh i a1
lô-tshué-tshué 1.0	l er5 tsh u e2 tsh u e2
lô-tshé-tshé 1.0	l er5 tsh e2 tsh e2
lô-tsip 1.0	l er5 ts i p_T4
lô-tsit 1.0	l er5 ts i t_T4
lô-tsok 1.0	l er5 ts er k_T4
lô-tsu 1.0	l er5 ts u1
lô-tsu-kìu-hun 1.0	l er5 ts u1 k i u3 h u nn1
lô-tsuí 1.0	l er5 ts u i2
lô-tsuí-khe 1.0	l er5 ts u i2 kh e1
lô-tsuí-khe-kong-siā 1.0	l er5 ts u i2 kh e1 k er ng1 s i a7
lô-tsuí-khue 1.0	l er5 ts u i2 kh u e1
lô-tsuí-khue-kong-siā 1.0	l er5 ts u i2 kh u e1 k er ng1 s i a7
lô-táng-táng 1.0	l er5 t a ng2 t a ng2
lô-tì 1.0	l er5 t i3
lô-tîn 1.0	l er5 t i nn5
lô-tîng-tshīu 1.0	l er5 t i ng5 tsh i u7
lô-tōng 1.0	l er5 t er ng7
lô-tōng-būn-tê 1.0	l er5 t er ng7 b_T u nn7 t e5
lô-tōng-kai-kip 1.0	l er5 t er ng7 k a i1 k i p_T4
lô-tōng-kài 1.0	l er5 t er ng7 k a i3
lô-tōng-li̍k 1.0	l er5 t er ng7 l i k_T8
lô-tōng-pōo 1.0	l er5 t er ng7 p o7
lô-tōng-tsiat 1.0	l er5 t er ng7 ts i a t_T4
lô-tōng-tsiá 1.0	l er5 t er ng7 ts i a2
lô-uí-huē 1.0	l er5 u i2 h u e7
lô-á 1.0	l er5 a2
lông 1.0	l er ng5
lông-bâng 1.0	l er ng5 b_T a ng5
lông-bîn 1.0	l er ng5 b_T i nn5
lông-bîn-li̍k 1.0	l er ng5 b_T i nn5 l i k_T8
lông-bū 1.0	l er ng5 b_T u7
lông-gia̍p 1.0	l er ng5 g_T i a p_T8
lông-gia̍p-ha̍k-hāu 1.0	l er ng5 g_T i a p_T8 h a k_T8 h a u7
lông-gia̍p-ka 1.0	l er ng5 g_T i a p_T8 k a1
lông-gia̍p-khu 1.0	l er ng5 g_T i a p_T8 kh u1
lông-gia̍p-king-tsè 1.0	l er ng5 g_T i a p_T8 k i ng1 ts e3
lông-gia̍p-kio̍k 1.0	l er ng5 g_T i a p_T8 k i er k_T8
lông-gia̍p-sing-sán 1.0	l er ng5 g_T i a p_T8 s i ng1 s a nn2
lông-gia̍p-tshì-giām-sóo 1.0	l er ng5 g_T i a p_T8 tsh i3 g_T i a m_T7 s o2
lông-gē 1.0	l er ng5 g_T e7
lông-ha̍k 1.0	l er ng5 h a k_T8
lông-ha̍k-īnn 1.0	l er ng5 h a k_T8 i nn_T7
lông-hn̂g 1.0	l er ng5 h ngs_T5
lông-hu 1.0	l er ng5 h u1
lông-huē 1.0	l er ng5 h u e7
lông-hā 1.0	l er ng5 h a7
lông-hāu 1.0	l er ng5 h a u7
lông-hōo 1.0	l er ng5 h o7
lông-ian 1.0	l er ng5 i a nn1
lông-io̍h 1.0	l er ng5 i er h_T8
lông-jîn 1.0	l er ng5 j_T i nn5
lông-ka 1.0	l er ng5 k a1
lông-khū 1.0	l er ng5 kh u7
lông-ki-thuân 1.0	l er ng5 k i1 th u a nn5
lông-kiau 1.0	l er ng5 k i a u1
lông-king 1.0	l er ng5 k i ng1
lông-kun 1.0	l er ng5 k u nn1
lông-kûn 1.0	l er ng5 k u nn5
lông-kū 1.0	l er ng5 k u7
lông-lia̍t 1.0	l er ng5 l i a t_T8
lông-li̍k 1.0	l er ng5 l i k_T8
lông-li̍p 1.0	l er ng5 l i p_T8
lông-lîm 1.0	l er ng5 l i m_T5
lông-lîm-thiann 1.0	l er ng5 l i m_T5 th i a nn_T1
lông-lông 1.0	l er ng5 l er ng5
lông-lôo 1.0	l er ng5 l o5
lông-lōo 1.0	l er ng5 l o7
lông-peh-á 1.0	l er ng5 p e h_T4 a2
lông-puē 1.0	l er ng5 p u e7
lông-sann 1.0	l er ng5 s a nn_T1
lông-sim 1.0	l er ng5 s i m_T1
lông-siok 1.0	l er ng5 s i er k_T4
lông-sià 1.0	l er ng5 s i a3
lông-sok 1.0	l er ng5 s er k_T4
lông-sán 1.0	l er ng5 s a nn2
lông-sán-bu̍t 1.0	l er ng5 s a nn2 b_T u t_T8
lông-sán-phín 1.0	l er ng5 s a nn2 ph i nn2
lông-tiong 1.0	l er ng5 t i er ng1
lông-tiân 1.0	l er ng5 t i a nn5
lông-ti̍k-sán-phín 1.0	l er ng5 t i k_T8 s a nn2 ph i nn2
lông-to̍k 1.0	l er ng5 t er k_T8
lông-tshuan 1.0	l er ng5 tsh u a nn1
lông-tshun 1.0	l er ng5 tsh u nn1
lông-tsing 1.0	l er ng5 ts i ng1
lông-tsng 1.0	l er ng5 ts ngs_T1
lông-tsok 1.0	l er ng5 ts er k_T4
lông-tsok-bu̍t 1.0	l er ng5 ts er k_T4 b_T u t_T8
lông-tsìng 1.0	l er ng5 ts i ng3
lông-tuē 1.0	l er ng5 t u e7
lông-tîunn 1.0	l er ng5 t i u nn_T5
lông-tē 1.0	l er ng5 t e7
lông-tē-khai-huat 1.0	l er ng5 t e7 kh a i1 h u a t_T4
lông-tōo 1.0	l er ng5 t o7
lông-uí-huē 1.0	l er ng5 u i2 h u e7
lông-á 1.0	l er ng5 a2
lông-á-lāi 1.0	l er ng5 a2 l a i7
lông-íu 1.0	l er ng5 i u2
lôo 1.0	l o5
lôo-hu 1.0	l o5 h u1
lôo-huē 1.0	l o5 h u e7
lôo-hàn 1.0	l o5 h a nn3
lôo-hî 1.0	l o5 h i5
lôo-hû 1.0	l o5 h u5
lôo-hē 1.0	l o5 h e7
lôo-ka 1.0	l o5 k a1
lôo-kam 1.0	l o5 k a m_T1
lôo-kuī 1.0	l o5 k u i7
lôo-lē 1.0	l o5 l e7
lôo-muâ 1.0	l o5 m u a5
lôo-muâ-hî 1.0	l o5 m u a5 h i5
lôo-muâ-khuì 1.0	l o5 m u a5 kh u i3
lôo-muâ-sià 1.0	l o5 m u a5 s i a3
lôo-muâ-thâu 1.0	l o5 m u a5 th a u5
lôo-muâ-tóng 1.0	l o5 m u a5 t er ng2
lôo-po̍k 1.0	l o5 p er k_T8
lôo-pôo 1.0	l o5 p o5
lôo-pī 1.0	l o5 p i7
lôo-san 1.0	l o5 s a nn1
lôo-si 1.0	l o5 s i1
lôo-si-ká 1.0	l o5 s i1 k a2
lôo-si-ting 1.0	l o5 s i1 t i ng1
lôo-si-tsuān 1.0	l o5 s i1 ts u a nn7
lôo-suann 1.0	l o5 s u a nn_T1
lôo-sué 1.0	l o5 s u e2
lôo-sé 1.0	l o5 s e2
lôo-sún 1.0	l o5 s u nn2
lôo-tan 1.0	l o5 t a nn1
lôo-tik 1.0	l o5 t i k_T4
lôo-tik-kuáinn 1.0	l o5 t i k_T4 k u a i nn_T2
lôo-tik-á 1.0	l o5 t i k_T4 a2
lôo-tsiu 1.0	l o5 ts i u1
lôo-tsàu 1.0	l o5 ts a u3
lôo-tsâi 1.0	l o5 ts a i5
lôo-tsî 1.0	l o5 ts i5
lôo-tsî-kha 1.0	l o5 ts i5 kh a1
lôo-tsú 1.0	l o5 ts u2
lôo-tà 1.0	l o5 t a3
lôo-tîn 1.0	l o5 t i nn5
lôo-uí 1.0	l o5 u i2
lôo-á 1.0	l o5 a2
lôu 1.0	l er u5
lù 1.0	l u3
lù-khah 1.0	l u3 kh a h_T4
lù-kng 1.0	l u3 k ngs_T1
lù-phuà-phuê 1.0	l u3 ph u a3 ph u e5
lù-siong 1.0	l u3 s i er ng1
lù-tio̍h 1.0	l u3 t i er h_T8
lù-to 1.0	l u3 t er1
lù-tshuì-khí 1.0	l u3 tsh u i3 kh i2
lù-á 1.0	l u3 a2
lù-ê 1.0	l u3 e5
lùn 1.0	l u nn3
lú 1.0	l u2
lú-ha̍k 1.0	l u2 h a k_T8
lú-ha̍k-hāu 1.0	l u2 h a k_T8 h a u7
lú-ha̍k-sing 1.0	l u2 h a k_T8 s i ng1
lú-hong 1.0	l u2 h er ng1
lú-huì 1.0	l u2 h u i3
lú-hîng 1.0	l u2 h i ng5
lú-hîng-tē 1.0	l u2 h i ng5 t e7
lú-iong 1.0	l u2 i er ng1
lú-ji̍t 1.0	l u2 j_T i t_T8
lú-jî 1.0	l u2 j_T i5
lú-jîn 1.0	l u2 j_T i nn5
lú-jîn-kok 1.0	l u2 j_T i nn5 k er k_T4
lú-jī-pîng 1.0	l u2 j_T i7 p i ng5
lú-ka 1.0	l u2 k a1
lú-kang 1.0	l u2 k a ng1
lú-kheh 1.0	l u2 kh e h_T4
lú-khái-tso̍k 1.0	l u2 kh a i2 ts er k_T8
lú-kia̍t 1.0	l u2 k i a t_T8
lú-ku 1.0	l u2 k u1
lú-kuán 1.0	l u2 k u a nn2
lú-kài 1.0	l u2 k a i3
lú-lâi-lú 1.0	l u2 l a i5 l u2
lú-miâ 1.0	l u2 m i a5
lú-o 1.0	l u2 er1
lú-o̍h 1.0	l u2 er h_T8
lú-o̍h-tn̂g 1.0	l u2 er h_T8 t ngs_T5
lú-pîng-íu 1.0	l u2 p i ng5 i u2
lú-pī 1.0	l u2 p i7
lú-sik 1.0	l u2 s i k_T4
lú-sing 1.0	l u2 s i ng1
lú-siā 1.0	l u2 s i a7
lú-su 1.0	l u2 s u1
lú-sun 1.0	l u2 s u nn1
lú-sìng 1.0	l u2 s i ng3
lú-sîn 1.0	l u2 s i nn5
lú-sú 1.0	l u2 s u2
lú-sū 1.0	l u2 s u7
lú-thuân 1.0	l u2 th u a nn5
lú-thuân-tō 1.0	l u2 th u a nn5 t er7
lú-thîng 1.0	l u2 th i ng5
lú-tik 1.0	l u2 t i k_T4
lú-tiong 1.0	l u2 t i er ng1
lú-tiōng-hu 1.0	l u2 t i er ng7 h u1
lú-tshenn 1.0	l u2 tsh e nn_T1
lú-tsing 1.0	l u2 ts i ng1
lú-tsiòng 1.0	l u2 ts i er ng3
lú-tsú 1.0	l u2 ts u2
lú-tsē-lú-hó 1.0	l u2 ts e7 l u2 h er2
lú-tíunn 1.0	l u2 t i u nn_T2
lú-tîng 1.0	l u2 t i ng5
lú-tôo 1.0	l u2 t o5
lú-îu 1.0	l u2 i u5
lú-ông 1.0	l u2 er ng5
lún 1.0	l u nn2
lún-be̍h-á 1.0	l u nn2 b_T e h_T8 a2
lún-bē-tiâu 1.0	l u nn2 b_T e7 t i a u5
lún-jiō 1.0	l u nn2 j_T i er7
lún-khuì 1.0	l u nn2 kh u i3
lún-khì 1.0	l u nn2 kh i3
lún-kuânn 1.0	l u nn2 k u a nn_T5
lún-lún 1.0	l u nn2 l u nn2
lún-neh 1.0	l u nn2 n e h_T4
lún-puah 1.0	l u nn2 p u a h_T4
lún-thiànn 1.0	l u nn2 th i a nn_T3
lún-tshuì 1.0	l u nn2 tsh u i3
lún-tshíu 1.0	l u nn2 tsh i u2
lún-tsio̍h 1.0	l u nn2 ts i er h_T8
lún-tsi̍t-ē 1.0	l u nn2 ts i t_T8 e7
lún-tánn 1.0	l u nn2 t a nn_T2
lún-táu 1.0	l u nn2 t a u2
lún-á 1.0	l u nn2 a2
lû 1.0	l u5
lû-guān 1.0	l u5 g_T u a nn7
lû-hô 1.0	l u5 h er5
lû-ka 1.0	l u5 k a1
lû-kim 1.0	l u5 k i m_T1
lû-káng 1.0	l u5 k a ng2
lû-kó 1.0	l u5 k er2
lû-lâi 1.0	l u5 l a i5
lû-tshiáng-tshiáng 1.0	l u5 tsh i a ng2 tsh i a ng2
lû-tshú 1.0	l u5 tsh u2
lû-tô 1.0	l u5 t er5
lû-tông 1.0	l u5 t er ng5
lû-á 1.0	l u5 a2
lû-ì 1.0	l u5 i3
lûn 1.0	l u nn5
lûn-bông 1.0	l u nn5 b_T er ng5
lûn-hiu 1.0	l u nn5 h i u1
lûn-huan 1.0	l u nn5 h u a nn1
lûn-huê 1.0	l u nn5 h u e5
lûn-hām 1.0	l u nn5 h a m_T7
lûn-ji̍p 1.0	l u nn5 j_T i p_T8
lûn-kan 1.0	l u nn5 k a nn1
lûn-khau 1.0	l u nn5 kh a u1
lûn-ki-tíunn 1.0	l u nn5 k i1 t i u nn_T2
lûn-lo̍k 1.0	l u nn5 l er k_T8
lûn-lí 1.0	l u nn5 l i2
lûn-lí-ha̍k 1.0	l u nn5 l i2 h a k_T8
lûn-lîu 1.0	l u nn5 l i u5
lûn-lîu-ê 1.0	l u nn5 l i u5 e5
lûn-pan 1.0	l u nn5 p a nn1
lûn-thai 1.0	l u nn5 th a i1
lûn-thè 1.0	l u nn5 th e3
lûn-tio̍h 1.0	l u nn5 t i er h_T8
lûn-tiàu 1.0	l u nn5 t i a u3
lûn-ti̍t 1.0	l u nn5 t i t_T8
lûn-tng 1.0	l u nn5 t ngs_T1
lûn-tsok 1.0	l u nn5 ts er k_T4
lûn-tsûn 1.0	l u nn5 ts u nn5
lûn-tun 1.0	l u nn5 t u nn1
lûn-uî 1.0	l u nn5 u i5
lûn-uānn 1.0	l u nn5 u a nn_T7
lûn-á 1.0	l u nn5 a2
lûn-í 1.0	l u nn5 i2
lûn-í-tíng 1.0	l u nn5 i2 t i ng2
lā 1.0	l a7
lā-hio̍h 1.0	l a7 h i er h_T8
lā-khang 1.0	l a7 kh a ng1
lā-kin-le 1.0	l a7 k i nn1 l e1
lā-kun-le 1.0	l a7 k u nn1 l e1
lā-lí-á 1.0	l a7 l i2 a2
lā-pue 1.0	l a7 p u e1
lā-sái 1.0	l a7 s a i2
lā-thâu 1.0	l a7 th a u5
lā-uē-thâu 1.0	l a7 u e7 th a u5
lāi 1.0	l a i7
lāi-bông-kóo 1.0	l a i7 b_T er ng5 k o2
lāi-bīn 1.0	l a i7 b_T i nn7
lāi-bīn-sann 1.0	l a i7 b_T i nn7 s a nn_T1
lāi-bōo 1.0	l a i7 b_T o7
lāi-bū 1.0	l a i7 b_T u7
lāi-guā 1.0	l a i7 g_T u a7
lāi-hio̍h 1.0	l a i7 h i er h_T8
lāi-hio̍h-ing 1.0	l a i7 h i er h_T8 i ng1
lāi-hio̍h-kha 1.0	l a i7 h i er h_T8 kh a1
lāi-hio̍h-tshì 1.0	l a i7 h i er h_T8 tsh i3
lāi-ho̍k 1.0	l a i7 h er k_T8
lāi-hun-pì 1.0	l a i7 h u nn1 p i3
lāi-hái 1.0	l a i7 h a i2
lāi-hâm 1.0	l a i7 h a m_T5
lāi-hâng 1.0	l a i7 h a ng5
lāi-hâng-lâng 1.0	l a i7 h a ng5 l a ng5
lāi-hâng-ê 1.0	l a i7 h a ng5 e5
lāi-hô 1.0	l a i7 h er5
lāi-i 1.0	l a i7 i1
lāi-iá 1.0	l a i7 i a2
lāi-iá-tshíu 1.0	l a i7 i a2 tsh i u2
lāi-iân 1.0	l a i7 i a nn5
lāi-iông 1.0	l a i7 i er ng5
lāi-kah-á 1.0	l a i7 k a h_T4 a2
lāi-kak 1.0	l a i7 k a k_T4
lāi-kan 1.0	l a i7 k a nn1
lāi-ke 1.0	l a i7 k e1
lāi-khe 1.0	l a i7 kh e1
lāi-kho 1.0	l a i7 kh er1
lāi-kho-i 1.0	l a i7 kh er1 i1
lāi-kho-i-sing 1.0	l a i7 kh er1 i1 s i ng1
lāi-khuân 1.0	l a i7 kh u a nn5
lāi-khì 1.0	l a i7 kh i3
lāi-khîn 1.0	l a i7 kh i nn5
lāi-khòo 1.0	l a i7 kh o3
lāi-khûn 1.0	l a i7 kh u nn5
lāi-ki 1.0	l a i7 k i1
lāi-kiàm 1.0	l a i7 k i a m_T3
lāi-kiàm-kiàm 1.0	l a i7 k i a m_T3 k i a m_T3
lāi-koh 1.0	l a i7 k er h_T4
lāi-kong 1.0	l a i7 k er ng1
lāi-ku 1.0	l a i7 k u1
lāi-kuáinn 1.0	l a i7 k u a i nn_T2
lāi-kuī 1.0	l a i7 k u i7
lāi-ká-lāi 1.0	l a i7 k a2 l a i7
lāi-kái 1.0	l a i7 k a i2
lāi-káng 1.0	l a i7 k a ng2
lāi-kìu 1.0	l a i7 k i u3
lāi-kíng 1.0	l a i7 k i ng2
lāi-kûn 1.0	l a i7 k u nn5
lāi-ling 1.0	l a i7 l i ng1
lāi-lio̍k 1.0	l a i7 l i er k_T8
lāi-li̍k 1.0	l a i7 l i k_T8
lāi-luān 1.0	l a i7 l u a nn7
lāi-lí 1.0	l a i7 l i2
lāi-lî-á 1.0	l a i7 l i5 a2
lāi-má 1.0	l a i7 m a2
lāi-m̂ng 1.0	l a i7 ms_T ng5
lāi-ni 1.0	l a i7 n i1
lāi-niá-sann 1.0	l a i7 n i a2 s a nn_T1
lāi-poo 1.0	l a i7 p o1
lāi-poo-hiong 1.0	l a i7 p o1 h i er ng1
lāi-poo-khiunn 1.0	l a i7 p o1 kh i u nn_T1
lāi-puânn 1.0	l a i7 p u a nn_T5
lāi-puān 1.0	l a i7 p u a nn7
lāi-pâng 1.0	l a i7 p a ng5
lāi-pîng 1.0	l a i7 p i ng5
lāi-pōo 1.0	l a i7 p o7
lāi-sann 1.0	l a i7 s a nn_T1
lāi-sann-khòo 1.0	l a i7 s a nn_T1 kh o3
lāi-siau 1.0	l a i7 s i a u1
lāi-sim 1.0	l a i7 s i m_T1
lāi-sin 1.0	l a i7 s i nn1
lāi-siong 1.0	l a i7 s i er ng1
lāi-suann 1.0	l a i7 s u a nn_T1
lāi-suann-sông 1.0	l a i7 s u a nn_T1 s er ng5
lāi-sun 1.0	l a i7 s u nn1
lāi-suànn 1.0	l a i7 s u a nn_T3
lāi-sîn-thong-guā-kuí 1.0	l a i7 s i nn5 th er ng1 g_T u a7 k u i2
lāi-sī 1.0	l a i7 s i7
lāi-sīn 1.0	l a i7 s i nn7
lāi-tang-tsí 1.0	l a i7 t a ng1 ts i2
lāi-thâu 1.0	l a i7 th a u5
lāi-tiong 1.0	l a i7 t i er ng1
lāi-tiânn 1.0	l a i7 t i a nn_T5
lāi-tiān 1.0	l a i7 t i a nn7
lāi-to 1.0	l a i7 t er1
lāi-tshin 1.0	l a i7 tsh i nn1
lāi-tshin-guā-tshik 1.0	l a i7 tsh i nn1 g_T u a7 tsh i k_T4
lāi-tshut-hueh 1.0	l a i7 tsh u t_T4 h u e h_T4
lāi-tshíu 1.0	l a i7 tsh i u2
lāi-tshù 1.0	l a i7 tsh u3
lāi-tsiàng 1.0	l a i7 ts i a ng3
lāi-tsiòng 1.0	l a i7 ts i er ng3
lāi-tsâi 1.0	l a i7 ts a i5
lāi-tsè 1.0	l a i7 ts e3
lāi-tsìng 1.0	l a i7 ts i ng3
lāi-tsìng-pōo 1.0	l a i7 ts i ng3 p o7
lāi-tsìng-pōo-tíunn 1.0	l a i7 ts i ng3 p o7 t i u nn_T2
lāi-tsînn 1.0	l a i7 ts i nn_T5
lāi-tsóo 1.0	l a i7 ts o2
lāi-tsāi 1.0	l a i7 ts a i7
lāi-tsāi-ê 1.0	l a i7 ts a i7 e5
lāi-tsōng 1.0	l a i7 ts er ng7
lāi-tué 1.0	l a i7 t u e2
lāi-tuē 1.0	l a i7 t u e7
lāi-tuē-lâng 1.0	l a i7 t u e7 l a ng5
lāi-té 1.0	l a i7 t e2
lāi-té-leh 1.0	l a i7 t e2 l e h_T4
lāi-té-tsē 1.0	l a i7 t e2 ts e7
lāi-tîng 1.0	l a i7 t i ng5
lāi-tîng-kann 1.0	l a i7 t i ng5 k a nn_T1
lāi-tîunn 1.0	l a i7 t i u nn_T5
lāi-tē 1.0	l a i7 t e7
lāi-tī 1.0	l a i7 t i7
lāi-tō 1.0	l a i7 t er7
lāi-uî 1.0	l a i7 u i5
lāi-ìng 1.0	l a i7 i ng3
lāi-ôo 1.0	l a i7 o5
lāi-ôo-khu 1.0	l a i7 o5 kh u1
lāi-ûn 1.0	l a i7 u nn5
lāiu 1.0	l a i u7
lām 1.0	l a m_T7
lām-hua̍t 1.0	l a m_T7 h u a t_T8
lām-huì 1.0	l a m_T7 h u i3
lām-iōng 1.0	l a m_T7 i er ng7
lām-kau 1.0	l a m_T7 k a u1
lām-khún 1.0	l a m_T7 kh u nn2
lām-lām 1.0	l a m_T7 l a m_T7
lām-lām-tsham-tsham 1.0	l a m_T7 l a m_T7 tsh a m_T1 tsh a m_T1
lām-sat 1.0	l a m_T7 s a t_T4
lām-sám 1.0	l a m_T7 s a m_T2
lām-sám-iōng 1.0	l a m_T7 s a m_T2 i er ng7
lām-sám-kóng 1.0	l a m_T7 s a m_T2 k er ng2
lām-sám-lâi 1.0	l a m_T7 s a m_T2 l a i5
lām-sám-tsuè 1.0	l a m_T7 s a m_T2 ts u e3
lām-sám-tsò 1.0	l a m_T7 s a m_T2 ts er3
lām-sám-īng 1.0	l a m_T7 s a m_T2 i ng7
lām-sú 1.0	l a m_T7 s u2
lām-thíng 1.0	l a m_T7 th i ng2
lām-tsa̍p 1.0	l a m_T7 ts a p_T8
lām-tsuè-hué 1.0	l a m_T7 ts u e3 h u e2
lām-tsò-hué 1.0	l a m_T7 ts er3 h u e2
lām-tsò-tsi̍t-ē 1.0	l a m_T7 ts er3 ts i t_T8 e7
lām-tsú 1.0	l a m_T7 ts u2
lām-tuī 1.0	l a m_T7 t u i7
lām-tíunn 1.0	l a m_T7 t i u nn_T2
lām-tīn 1.0	l a m_T7 t i nn7
lān 1.0	l a nn7
lān-bîn 1.0	l a nn7 b_T i nn5
lān-hu̍t 1.0	l a nn7 h u t_T8
lān-hu̍t-á 1.0	l a nn7 h u t_T8 a2
lān-moo 1.0	l a nn7 m o1
lān-muā 1.0	l a nn7 m u a7
lān-pha 1.0	l a nn7 ph a1
lān-sim-bo̍k 1.0	l a nn7 s i m_T1 b_T er k_T8
lān-sui 1.0	l a nn7 s u i1
lān-sîn 1.0	l a nn7 s i nn5
lān-tsiáu 1.0	l a nn7 ts i a u2
lān-tsiáu-thâu 1.0	l a nn7 ts i a u2 th a u5
lāng 1.0	l a ng7
lāng-gê 1.0	l a ng7 g_T e5
lāng-gín-á 1.0	l a ng7 g_T i nn2 a2
lāng-gīn 1.0	l a ng7 g_T i nn7
lāng-hiám 1.0	l a ng7 h i a m_T2
lāng-hong 1.0	l a ng7 h er ng1
lāng-hue 1.0	l a ng7 h u e1
lāng-hue-jī 1.0	l a ng7 h u e1 j_T i7
lāng-hue-kóo 1.0	l a ng7 h u e1 k o2
lāng-kuái-á-hue 1.0	l a ng7 k u a i2 a2 h u e1
lāng-káu-hîm 1.0	l a ng7 k a u2 h i m_T5
lāng-liông 1.0	l a ng7 l i er ng5
lāng-lâu 1.0	l a ng7 l a u5
lāng-lîng 1.0	l a ng7 l i ng5
lāng-lîng-lāng-sai 1.0	l a ng7 l i ng5 l a ng7 s a i1
lāng-lāng 1.0	l a ng7 l a ng7
lāng-sai 1.0	l a ng7 s a i1
lāng-sai-thâu 1.0	l a ng7 s a i1 th a u5
lāng-sin-nîu 1.0	l a ng7 s i nn1 n i u5
lāng-si̍t 1.0	l a ng7 s i t_T8
lāng-to-lāng-kiàm 1.0	l a ng7 t er1 l a ng7 k i a m_T3
lāng-tshuì-hue 1.0	l a ng7 tsh u i3 h u e1
lāng-tsînn-kóo 1.0	l a ng7 ts i nn_T5 k o2
lāu 1.0	l a u7
lāu-a 1.0	l a u7 a1
lāu-a-kong 1.0	l a u7 a1 k er ng1
lāu-a-má 1.0	l a u7 a1 m a2
lāu-a-peh 1.0	l a u7 a1 p e h_T4
lāu-a-pô 1.0	l a u7 a1 p er5
lāu-a-ḿ 1.0	l a u7 a1 ms_T2
lāu-ang 1.0	l a u7 a ng1
lāu-ang-bóo 1.0	l a u7 a ng1 b_T o2
lāu-bâ 1.0	l a u7 b_T a5
lāu-bé-tián-tsang 1.0	l a u7 b_T e2 t i a nn2 ts a ng1
lāu-bó 1.0	l a u7 b_T er2
lāu-bú 1.0	l a u7 b_T u2
lāu-bú-ê 1.0	l a u7 b_T u2 e5
lāu-bāng 1.0	l a u7 b_T a ng7
lāu-gōng 1.0	l a u7 g_T er ng7
lāu-hiann 1.0	l a u7 h i a nn_T1
lāu-hiann-tī 1.0	l a u7 h i a nn_T1 t i7
lāu-hiâu 1.0	l a u7 h i a u5
lāu-hong 1.0	l a u7 h er ng1
lāu-hong-so 1.0	l a u7 h er ng1 s er1
lāu-huan-tian 1.0	l a u7 h u a nn1 t i a nn1
lāu-hue 1.0	l a u7 h u e1
lāu-huà 1.0	l a u7 h u a3
lāu-huè 1.0	l a u7 h u e3
lāu-huè-á 1.0	l a u7 h u e3 a2
lāu-hàn 1.0	l a u7 h a nn3
lāu-hàu 1.0	l a u7 h a u3
lāu-hè 1.0	l a u7 h e3
lāu-hè-á 1.0	l a u7 h e3 a2
lāu-hì 1.0	l a u7 h i3
lāu-hóo 1.0	l a u7 h o2
lāu-hóo-sim 1.0	l a u7 h o2 s i m_T1
lāu-hôo-lî 1.0	l a u7 h o5 l i5
lāu-hōo 1.0	l a u7 h o7
lāu-iâ 1.0	l a u7 i a5
lāu-iâ-tshia 1.0	l a u7 i a5 tsh i a1
lāu-iông-hue 1.0	l a u7 i er ng5 h u e1
lāu-jia̍t 1.0	l a u7 j_T i a t_T8
lāu-jia̍t-kún-kún 1.0	l a u7 j_T i a t_T8 k u nn2 k u nn2
lāu-jia̍t-neh 1.0	l a u7 j_T i a t_T8 n e h_T4
lāu-jia̍t-pái 1.0	l a u7 j_T i a t_T8 p a i2
lāu-jī-hō 1.0	l a u7 j_T i7 h er7
lāu-ke-pô 1.0	l a u7 k e1 p er5
lāu-kha-tháng 1.0	l a u7 kh a1 th a ng2
lāu-khang 1.0	l a u7 kh a ng1
lāu-khok-khok 1.0	l a u7 kh er k_T4 kh er k_T4
lāu-khong-kiān 1.0	l a u7 kh er ng1 k i a nn7
lāu-kháu 1.0	l a u7 kh a u2
lāu-khì 1.0	l a u7 kh i3
lāu-kiunn 1.0	l a u7 k i u nn_T1
lāu-kiàm-sian 1.0	l a u7 k i a m_T3 s i a nn1
lāu-kong-pô 1.0	l a u7 k er ng1 p er5
lāu-kong-á 1.0	l a u7 k er ng1 a2
lāu-koo-nóo 1.0	l a u7 k o1 n o2
lāu-koo-pô 1.0	l a u7 k o1 p er5
lāu-ku-tsiann 1.0	l a u7 k u1 ts i a nn_T1
lāu-kâu 1.0	l a u7 k a u5
lāu-kóo-pán 1.0	l a u7 k o2 p a nn2
lāu-kóo-tsá 1.0	l a u7 k o2 ts a2
lāu-kóo-tóng 1.0	l a u7 k o2 t er ng2
lāu-kū 1.0	l a u7 k u7
lāu-lia̍t-kún-kún 1.0	l a u7 l i a t_T8 k u nn2 k u nn2
lāu-lâi 1.0	l a u7 l a i5
lāu-lâng 1.0	l a u7 l a ng5
lāu-lâng-ba̍k 1.0	l a u7 l a ng5 b_T a k_T8
lāu-lâng-gín-á 1.0	l a u7 l a ng5 g_T i nn2 a2
lāu-lâng-ke 1.0	l a u7 l a ng5 k e1
lāu-lâng-kiànn 1.0	l a u7 l a ng5 k i a nn_T3
lāu-lâng-nî-kim 1.0	l a u7 l a ng5 n i5 k i m_T1
lāu-lâng-pan 1.0	l a u7 l a ng5 p a nn1
lāu-lâng-pīnn 1.0	l a u7 l a ng5 p i nn_T7
lāu-miā 1.0	l a u7 m i a7
lāu-mooh-mooh 1.0	l a u7 m o h_T4 m o h_T4
lāu-má 1.0	l a u7 m a2
lāu-môo-pēnn 1.0	l a u7 m o5 p e nn_T7
